,Position,Driver,Car,Time
3,1,Jody Scheckter,Tyrrell Ford,1:25.659
5,2,Mario Andretti,Lotus Ford,1:26.008
22,3,Chris Amon,Ensign Ford,1:26.163
4,4,Patrick Depailler,Tyrrell Ford,1:26.362
1,5,Niki Lauda,Ferrari,1:26.441
6,6,Gunnar Nilsson,Lotus Ford,1:26.570
26,7,Jacques Laffite,Ligier Matra,1:26.773
11,8,James Hunt,McLaren Ford,1:26.958
10,9,Ronnie Peterson,March Ford,1:27.040
8,10,Carlos Pace,Brabham Alfa Romeo,1:27.133
2,11,Clay Regazzoni,Ferrari,1:27.157
16,12,Tom Pryce,Shadow Ford,1:27.527
12,13,Jochen Mass,McLaren Ford,1:27.568
17,14,Jean-Pierre Jarier,Shadow Ford,1:27.618
9,15,Vittorio Brambilla,March Ford,1:27.640
7,16,Carlos Reutemann,Brabham Alfa Romeo,1:27.762
28,17,John Watson,Penske Ford,1:28.065
19,18,Alan  Jones,Surtees Ford,1:28.207
35,19,Arturo Merzario,March Ford,1:28.221
34,20,Hans-Joachim Stuck,March Ford,1:28.230
30,21,Emerson Fittipaldi,Fittipaldi Ford,1:28.670
37,22,Larry Perkins,Boro Ford,1:28.815
24,23,Harald Ertl,Hesketh Ford,1:28.885
18,24,Brett Lunger,Surtees Ford,1:29.343
21,25,Michel Leclere,Wolf-Williams,1:29.597
32,26,Loris Kessel,Brabham Ford,1:30.020
