,Position,Driver,Car,Time,Laps
3,1,Jenson Button,BAR Honda,1:15.217,3
1,2,Michael Schumacher,Ferrari,1:15.475,3
5,3,Fernando Alonso,Renault,1:15.561,3
6,4,Giancarlo Fisichella,Renault,1:15.577,3
10,5,Juan Pablo Montoya,McLaren Mercedes,1:15.669,3
4,6,Takuma Sato,BAR Honda,1:15.729,3
9,7,Kimi Räikkönen,McLaren Mercedes,1:15.923,3
11,8,Jacques Villeneuve,Sauber Petronas,1:16.116,3
16,9,Jarno Trulli,Toyota,1:16.201,3
17,10,Ralf Schumacher,Toyota,1:16.362,3
12,11,Felipe Massa,Sauber Petronas,1:16.661,3
14,12,David Coulthard,RBR Cosworth,1:16.890,3
8,13,Nick Heidfeld,Williams BMW,1:17.081,3
7,14,Mark Webber,Williams BMW,1:17.749,3
21,15,Christijan Albers,Minardi Cosworth,1:18.214,3
15,16,Christian Klien,RBR Cosworth,1:18.249,3
19,17,Narain Karthikeyan,Jordan Toyota,1:18.664,3
18,18,Tiago Monteiro,Jordan Toyota,1:19.034,3
20,19,Patrick Friesacher ,Minardi Cosworth,1:19.574,3
2,20,Rubens Barrichello,Ferrari,,1
