,Position,Driver,Car,Time
44,1,Lewis Hamilton,Mercedes,1:34.794
77,2,Valtteri Bottas,Mercedes,1:34.956
5,3,Sebastian Vettel,Ferrari,1:35.125
7,4,Kimi Räikkönen,Ferrari,1:35.365
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:35.401
33,6,Max Verstappen,Red Bull Racing TAG Heuer,1:35.589
8,7,Romain Grosjean,Haas Ferrari,1:36.192
16,8,Charles Leclerc,Sauber Ferrari,1:36.237
31,9,Esteban Ocon,Force India Mercedes,1:36.540
27,10,Nico Hulkenberg,Renault,1:36.542
55,11,Carlos Sainz,Renault,1:36.982
9,12,Marcus Ericsson,Sauber Ferrari,1:37.132
20,13,Kevin Magnussen,Haas Ferrari,1:37.309
11,14,Sergio Perez,Force India Mercedes,1:37.541
14,15,Fernando Alonso,McLaren Renault,1:37.743
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,1:37.994
10,17,Pierre Gasly,Scuderia Toro Rosso Honda,1:38.166
2,18,Stoffel Vandoorne,McLaren Renault,1:38.577
35,19,Sergey Sirotkin,Williams Mercedes,1:38.635
18,20,Lance Stroll,Williams Mercedes,1:38.682
