,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,54,1:40.867,198.225,18:51:36
77,2,Valtteri Bottas,Mercedes,42,1:40.953,198.056,18:31:37
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,35,1:41.249,197.477,18:19:13
55,4,Carlos Sainz,Renault,54,1:41.351,197.278,18:52:44
44,5,Lewis Hamilton,Mercedes,53,1:41.357,197.267,18:49:50
33,6,Max Verstappen,Red Bull Racing TAG Heuer,51,1:41.909,196.198,18:46:36
14,7,Fernando Alonso,McLaren Renault,53,1:42.393,195.271,18:51:58
11,8,Sergio Perez,Force India Mercedes,53,1:42.816,194.467,18:51:19
20,9,Kevin Magnussen,Haas Ferrari,53,1:42.822,194.456,18:51:56
16,10,Charles Leclerc,Sauber Ferrari,54,1:42.876,194.354,18:53:01
8,11,Romain Grosjean,Haas Ferrari,54,1:43.195,193.753,18:53:38
2,12,Stoffel Vandoorne,McLaren Renault,53,1:43.249,193.652,18:52:22
31,13,Esteban Ocon,Force India Mercedes,41,1:43.591,193.012,18:30:48
35,14,Sergey Sirotkin,Williams Mercedes,54,1:43.831,192.566,18:54:22
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,42,1:43.988,192.276,18:32:42
18,16,Lance Stroll,Williams Mercedes,53,1:44.033,192.192,18:52:21
28,17,Brendon Hartley,Scuderia Toro Rosso Honda,53,1:44.174,191.932,18:52:19
7,18,Kimi Räikkönen,Ferrari,5,1:45.198,190.064,17:25:45
9,19,Marcus Ericsson,Sauber Ferrari,22,1:46.077,188.489,17:57:07
