,Position,Driver,Car,Time
18,1,John Surtees,Lotus Climax,2:25.560
24,2,Dan Gurney,BRM,2:25.630
2,3,Jack Brabham,Cooper Climax,2:26.050
12,4,Stirling Moss,Lotus Climax,2:26.190
22,5,Graham Hill,BRM,2:27.110
4,6,Bruce McLaren,Cooper Climax,2:27.440
16,7,Innes Ireland,Lotus Climax,2:27.520
14,8,Jim Clark,Lotus Climax,2:28.360
28,9,Wolfgang von Trips,Ferrari,2:28.400
26,10,Phil Hill,Ferrari,2:28.420
30,11,Masten Gregory,Cooper Maserati,2:29.160
6,12,Tony Brooks,Cooper Climax,2:32.120
20,13,Jo Bonnier,BRM,2:33.340
8,14,Olivier  Gendebien,Cooper Climax,2:33.730
32,15,Mario  de Araujo Cabral ,Cooper Maserati,2:35.850
