,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,30,1:22.497,252.794,15:58:09
5,2,Sebastian Vettel,Ferrari,51,1:22.505,252.770,16:27:54
77,3,Valtteri Bottas,Mercedes,39,1:22.907,251.544,16:11:03
7,4,Kimi Räikkönen,Ferrari,28,1:23.515,249.713,15:55:17
11,5,Sergio Perez,Force India Mercedes,43,1:23.529,249.671,16:17:21
33,6,Max Verstappen,Red Bull Racing TAG Heuer,41,1:23.609,249.432,16:13:49
9,7,Marcus Ericsson,Sauber Ferrari,44,1:23.768,248.959,16:19:40
35,8,Sergey Sirotkin,Williams Mercedes,52,1:23.768,248.959,16:30:30
55,9,Carlos Sainz,Renault,52,1:24.056,248.106,16:30:17
27,10,Nico Hulkenberg,Renault,47,1:24.059,248.097,16:23:44
31,11,Esteban Ocon,Force India Mercedes,44,1:24.179,247.743,16:18:42
8,12,Romain Grosjean,Haas Ferrari,48,1:24.243,247.555,16:24:18
16,13,Charles Leclerc,Sauber Ferrari,52,1:24.504,246.790,16:30:36
18,14,Lance Stroll,Williams Mercedes,39,1:24.580,246.568,16:11:59
10,15,Pierre Gasly,Scuderia Toro Rosso Honda,46,1:24.767,246.024,16:22:19
2,16,Stoffel Vandoorne,McLaren Renault,47,1:24.772,246.010,16:23:41
3,17,Daniel Ricciardo,Red Bull Racing TAG Heuer,18,1:25.229,244.691,15:41:30
20,18,Kevin Magnussen,Haas Ferrari,46,1:25.692,243.369,16:23:07
14,19,Fernando Alonso,McLaren Renault,6,1:27.009,239.685,15:24:11
