,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,53,1:16:54.484,25
7,2,Kimi Räikkönen,Ferrari,53,+8.705s,18
77,3,Valtteri Bottas,Mercedes,53,+14.066s,15
5,4,Sebastian Vettel,Ferrari,53,+16.151s,12
33,5,Max Verstappen,Red Bull Racing TAG Heuer,53,+18.208s,10
8,DQ,Romain Grosjean,Haas Ferrari,53,+56.320s,0
31,6,Esteban Ocon,Force India Mercedes,53,+57.761s,8
11,7,Sergio Perez,Force India Mercedes,53,+58.678s,6
55,8,Carlos Sainz,Renault,53,+78.140s,4
18,9,Lance Stroll,Williams Mercedes,52,+1 lap,2
35,10,Sergey Sirotkin,Williams Mercedes,52,+1 lap,1
16,11,Charles Leclerc,Sauber Ferrari,52,+1 lap,0
2,12,Stoffel Vandoorne,McLaren Renault,52,+1 lap,0
27,13,Nico Hulkenberg,Renault,52,+1 lap,0
10,14,Pierre Gasly,Scuderia Toro Rosso Honda,52,+1 lap,0
9,15,Marcus Ericsson,Sauber Ferrari,52,+1 lap,0
20,16,Kevin Magnussen,Haas Ferrari,52,+1 lap,0
3,NC,Daniel Ricciardo,Red Bull Racing TAG Heuer,23,DNF,0
14,NC,Fernando Alonso,McLaren Renault,9,DNF,0
28,NC,Brendon Hartley,Scuderia Toro Rosso Honda,0,DNF,0
