,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Kimi Räikkönen,Ferrari,1:15.133,1:15.161,1:16.449,16
2,2,Felipe Massa,Ferrari,1:15.024,1:15.041,1:16.490,17
22,3,Lewis Hamilton,McLaren Mercedes,1:15.634,1:15.293,1:16.693,15
5,4,Fernando Alonso,Renault,1:15.754,1:15.483,1:16.840,18
11,5,Jarno Trulli,Toyota,1:15.521,1:15.362,1:16.920,19
23,6,Heikki Kovalainen,McLaren Mercedes,1:15.965,1:15.639,1:16.944,18
4,7,Robert Kubica,Sauber BMW,1:15.687,1:15.723,1:17.037,19
10,8,Mark Webber,Red Bull Renault,1:16.020,1:15.488,1:17.233,18
9,9,David Coulthard,Red Bull Renault,1:15.802,1:15.654,1:17.426,19
12,10,Timo Glock,Toyota,1:15.727,1:15.558,1:17.596,24
6,11,Nelson Piquet,Renault,1:15.848,1:15.770,,12
3,12,Nick Heidfeld,Sauber BMW,1:16.006,1:15.786,,14
15,13,Sebastian Vettel,STR Ferrari,1:15.918,1:15.816,,17
14,14,Sebastien Bourdais,STR Ferrari,1:16.072,1:16.045,,17
7,15,Nico Rosberg,Williams Toyota,1:16.085,1:16.235,,12
8,16,Kazuki Nakajima,Williams Toyota,1:16.243,,,9
16,17,Jenson Button,Honda,1:16.306,,,9
17,18,Rubens Barrichello,Honda,1:16.330,,,6
21,19,Giancarlo Fisichella,Force India Ferrari,1:16.971,,,10
20,20,Adrian Sutil,Force India Ferrari,1:17.053,,,9
