,Position,Driver,Car,Time
5,1,Nigel Mansell,Williams Honda,1:06.454
1,2,Alain Prost,McLaren TAG,1:06.877
12,3,Ayrton Senna,Lotus Honda,1:07.024
6,4,Nelson Piquet,Williams Honda,1:07.140
20,5,Thierry Boutsen,Benetton Ford,1:08.077
28,6,Gerhard Berger,Ferrari,1:08.198
19,7,Teo Fabi,Benetton Ford,1:08.293
27,8,Michele Alboreto,Ferrari,1:08.390
2,9,Stefan Johansson,McLaren TAG,1:08.577
17,10,Derek Warwick,Arrows Megatron,1:08.800
8,11,Andrea de Cesaris,Brabham BMW,1:08.949
7,12,Riccardo Patrese,Brabham BMW,1:08.993
25,13,Rene Arnoux,Ligier Megatron,1:09.430
18,14,Eddie  Cheever,Arrows Megatron,1:09.828
24,15,Alessandro Nannini,Minardi Motori Moderni,1:09.868
11,16,Satoru Nakajima,Lotus Honda,1:10.652
26,17,Piercarlo Ghinzani,Ligier Megatron,1:10.798
9,18,Martin Brundle,Zakspeed,1:11.170
10,19,Christian Danner,Zakspeed,1:11.389
21,20,Alex Caffi,Osella Alfa Romeo,1:12.167
23,21,Adrian Campos,Minardi Motori Moderni,1:12.551
16,22,Ivan Capelli,March Ford,1:12.654
30,23,Philippe Alliot,Lola Ford,1:13.026
3,24,Jonathan  Palmer,Tyrrell Ford,1:13.443
4,25,Philippe Streiff,Tyrrell Ford,1:13.525
14,26,Pascal Fabre,AGS Ford,1:14.699
