,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Fernando Alonso,Ferrari,55,1:43.434,193.305
1,2,Sebastian Vettel,Red Bull Racing Renault,51,1:43.893,192.451
8,3,Romain Grosjean,Lotus Renault,54,1:44.301,191.699
17,4,Valtteri Bottas,Williams Renault,54,1:44.351,191.607
2,5,Mark Webber,Red Bull Racing Renault,49,1:44.364,191.583
9,6,Nico Rosberg,Mercedes,51,1:44.458,191.410
18,7,Jean-Eric Vergne,STR Ferrari,53,1:44.517,191.302
6,8,Sergio Perez,McLaren Mercedes,51,1:45.435,189.637
4,9,Felipe Massa,Ferrari,52,1:45.447,189.615
10,10,Lewis Hamilton,Mercedes,47,1:45.463,189.586
16,11,Pastor Maldonado,Williams Renault,55,1:45.530,189.466
11,12,Nico Hulkenberg,Sauber Ferrari,52,1:45.570,189.394
15,13,Adrian Sutil,Force India Mercedes,48,1:45.609,189.324
14,14,Paul di Resta,Force India Mercedes,55,1:45.786,189.007
12,15,Esteban Gutierrez ,Sauber Ferrari,43,1:45.974,188.672
19,16,Daniel Ricciardo,STR Ferrari,46,1:46.042,188.551
5,17,Jenson Button,McLaren Mercedes,43,1:46.336,188.030
20,18,Charles Pic,Caterham Renault,50,1:46.432,187.860
21,19,Giedo van der Garde,Caterham Renault,48,1:46.592,187.578
22,20,Jules Bianchi,Marussia Cosworth,52,1:47.619,185.788
23,21,Max Chilton,Marussia Cosworth,52,1:47.707,185.636
