,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,60,1:26.100
5,2,Nigel Mansell,Williams Renault,36,1:26.588
2,3,Gerhard Berger,McLaren Honda,31,1:27.250
20,4,Martin Brundle,Benetton Ford,27,1:27.410
1,5,Ayrton Senna,McLaren Honda,28,1:27.615
27,6,Jean Alesi,Ferrari,38,1:28.071
4,7,Andrea de Cesaris,Tyrrell Ilmor,55,1:28.802
9,8,Michele Alboreto,Footwork Mugen Honda,38,1:29.078
26,9,Erik Comas,Ligier Renault,58,1:29.095
19,10,Michael Schumacher,Benetton Ford,7,1:29.183
21,11,Jyrki Jarvilehto,Dallara Ferrari,30,1:29.187
22,12,Pierluigi Martini,Dallara Ferrari,39,1:29.282
10,13,Aguri Suzuki,Footwork Mugen Honda,38,1:29.612
29,14,Bertrand Gachot,Venturi Lamborghini,28,1:29.659
25,15,Thierry Boutsen,Ligier Renault,24,1:29.699
3,16,Olivier Grouillard,Tyrrell Ilmor,38,1:29.739
28,17,Ivan Capelli,Ferrari,10,1:29.832
17,18,Paul Belmondo,March Ilmor,36,1:30.024
16,19,Karl Wendlinger,March Ilmor,19,1:30.369
30,20,Ukyo Katayama,Venturi Lamborghini,25,1:30.458
33,21,Mauricio Gugelmin,Jordan Yamaha,38,1:30.560
24,22,Gianni Morbidelli,Minardi Lamborghini,24,1:30.671
12,23,Johnny Herbert,Lotus Ford,4,1:30.976
15,24,Gabriele Tarquini,Fondmetal Ford,24,1:31.064
23,25,Christian Fittipaldi,Minardi Lamborghini,6,1:31.944
32,26,Stefano Modena,Jordan Yamaha,20,1:31.953
