,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:22.714
1,2,Ayrton Senna,McLaren Honda,+0.154s
6,3,Riccardo Patrese,Williams Renault,+0.800s
27,4,Jean Alesi,Ferrari,+1.033s
2,5,Gerhard Berger,McLaren Honda,+1.389s
19,6,Michael Schumacher,Benetton Ford,+1.667s
28,7,Ivan Capelli,Ferrari,+2.315s
10,8,Aguri Suzuki,Footwork Mugen Honda,+2.775s
9,9,Michele Alboreto,Footwork Mugen Honda,+2.869s
20,10,Martin Brundle,Benetton Ford,+2.911s
25,11,Thierry Boutsen,Ligier Renault,+3.084s
26,12,Erik Comas,Ligier Renault,+3.512s
3,13,Olivier Grouillard,Tyrrell Ilmor,+3.553s
21,14,Jyrki Jarvilehto,Dallara Ferrari,+3.564s
22,15,Pierluigi Martini,Dallara Ferrari,+3.728s
24,16,Gianni Morbidelli,Minardi Lamborghini,+3.770s
4,17,Andrea de Cesaris,Tyrrell Ilmor,+3.775s
32,18,Stefano Modena,Jordan Yamaha,+3.873s
16,19,Karl Wendlinger,March Ilmor,+4.153s
33,20,Mauricio Gugelmin,Jordan Yamaha,+4.311s
11,21,Mika Hakkinen,Lotus Ford,+5.075s
30,22,Ukyo Katayama,Venturi Lamborghini,+5.133s
15,23,Gabriele Tarquini,Fondmetal Ford,+5.139s
12,24,Johnny Herbert,Lotus Ford,+5.193s
23,25,Christian Fittipaldi,Minardi Lamborghini,+5.664s
14,26,Andrea Chiesa,Fondmetal Ford,+5.760s
17,27,Paul Belmondo,March Ilmor,+6.610s
