,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:21.990
6,2,Riccardo Patrese,Williams Renault,+0.783s
1,3,Ayrton Senna,McLaren Honda,+1.575s
27,4,Jean Alesi,Ferrari,+1.752s
19,5,Michael Schumacher,Benetton Ford,+2.198s
20,6,Martin Brundle,Benetton Ford,+2.412s
28,7,Ivan Capelli,Ferrari,+2.812s
2,8,Gerhard Berger,McLaren Honda,+2.950s
21,9,Jyrki Jarvilehto,Dallara Ferrari,+3.277s
24,10,Gianni Morbidelli,Minardi Lamborghini,+3.415s
16,11,Karl Wendlinger,March Ilmor,+3.439s
9,12,Michele Alboreto,Footwork Mugen Honda,+3.493s
10,13,Aguri Suzuki,Footwork Mugen Honda,+3.616s
30,14,Ukyo Katayama,Venturi Lamborghini,+3.685s
29,15,Bertrand Gachot,Venturi Lamborghini,+3.865s
25,16,Thierry Boutsen,Ligier Renault,+3.954s
4,17,Andrea de Cesaris,Tyrrell Ilmor,+4.092s
26,18,Erik Comas,Ligier Renault,+4.120s
3,19,Olivier Grouillard,Tyrrell Ilmor,+4.192s
33,20,Mauricio Gugelmin,Jordan Yamaha,+4.245s
23,21,Christian Fittipaldi,Minardi Lamborghini,+4.317s
22,22,Pierluigi Martini,Dallara Ferrari,+4.381s
32,23,Stefano Modena,Jordan Yamaha,+4.773s
15,24,Gabriele Tarquini,Fondmetal Ford,+5.137s
17,25,Paul Belmondo,March Ilmor,+5.587s
12,26,Johnny Herbert,Lotus Ford,+5.592s
7,27,Eric van de Poele,Brabham Judd,+6.724s
11,28,Mika Hakkinen,Lotus Ford,+6.993s
8,29,Damon Hill,Brabham Judd,+7.706s
14,30,Andrea Chiesa,Fondmetal Ford,+7.768s
