,Position,Driver,Car,Time / Gap
12,1,Ayrton Senna,McLaren Honda,1:18.414
11,2,Alain Prost,McLaren Honda,+0.105s
5,3,Nigel Mansell,Williams Judd,+1.674s
6,4,Riccardo Patrese,Williams Judd,+2.052s
19,5,Alessandro Nannini,Benetton Ford,+2.249s
28,6,Gerhard Berger,Ferrari,+2.257s
1,7,Nelson Piquet,Lotus Honda,+2.382s
18,8,Eddie  Cheever,Arrows Megatron,+2.584s
2,9,Satoru Nakajima,Lotus Honda,+2.715s
22,10,Andrea de Cesaris,Rial Ford,+2.816s
36,11,Alex Caffi,Dallara Ford,+2.882s
15,12,Mauricio Gugelmin,March Judd,+2.996s
16,13,Ivan Capelli,March Judd,+3.064s
3,14,Jonathan  Palmer,Tyrrell Ford,+3.067s
23,15,Pierluigi Martini,Minardi Ford,+3.165s
27,16,Michele Alboreto,Ferrari,+3.215s
33,17,Stefano Modena,Euro Brun Ford,+3.372s
17,18,Derek Warwick,Arrows Megatron,+3.501s
30,19,Philippe Alliot,Lola Ford,+3.516s
14,20,Philippe Streiff,AGS Ford,+3.527s
32,21,Oscar Larrauri,Euro Brun Ford,+3.594s
25,22,Rene Arnoux,Ligier Judd,+3.597s
20,23,Thierry Boutsen,Benetton Ford,+3.598s
9,24,Piercarlo Ghinzani,Zakspeed,+4.072s
4,25,Julian Bailey,Tyrrell Ford,+4.103s
24,26,Luis Perez-Sala,Minardi Ford,+4.168s
31,27,Gabriele Tarquini,Coloni Ford,+4.394s
26,28,Stefan Johansson,Ligier Judd,+4.455s
29,29,Pierre Henri Raphanel,Lola Ford,+4.515s
10,30,Bernd Schneider,Zakspeed,+5.685s
