,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,56,1:40:04.785,25
6,2,Nico Rosberg,Mercedes,56,+4.314s,18
3,3,Daniel Ricciardo,Red Bull Racing Renault,56,+25.560s,15
19,4,Felipe Massa,Williams Mercedes,56,+26.924s,12
77,5,Valtteri Bottas,Williams Mercedes,56,+30.992s,10
14,6,Fernando Alonso,Ferrari,56,+95.231s,8
1,7,Sebastian Vettel,Red Bull Racing Renault,56,+95.734s,6
20,8,Kevin Magnussen,McLaren Mercedes,56,+100.682s,4
13,9,Pastor Maldonado,Lotus Renault,56,+107.870s,2
25,10,Jean-Eric Vergne,STR Renault,56,+108.863s,1
8,11,Romain Grosjean,Lotus Renault,55,+1 lap,0
22,12,Jenson Button,McLaren Mercedes,55,+1 lap,0
7,13,Kimi Räikkönen,Ferrari,55,+1 lap,0
21,14,Esteban Gutierrez ,Sauber Ferrari,55,+1 lap,0
26,15,Daniil Kvyat,STR Renault,55,+1 lap,0
27,NC,Nico Hulkenberg,Force India Mercedes,16,DNF,0
11,NC,Sergio Perez,Force India Mercedes,1,DNF,0
99,NC,Adrian Sutil,Sauber Ferrari,0,DNF,0
