,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
11,1,Sergio Perez,Red Bull Racing Honda,50,1:28.617,239.317,17:00:26
44,2,Lewis Hamilton,Mercedes,45,1:29.699,236.430,16:51:11
10,3,Pierre Gasly,AlphaTauri Honda,52,1:30.266,234.945,17:03:11
77,4,Valtteri Bottas,Mercedes,45,1:30.524,234.275,16:51:16
16,5,Charles Leclerc,Ferrari,45,1:30.569,234.159,16:51:07
22,6,Yuki Tsunoda,AlphaTauri Honda,51,1:30.826,233.497,17:01:36
55,7,Carlos Sainz,Ferrari,51,1:31.223,232.480,17:00:57
3,8,Daniel Ricciardo,McLaren Mercedes,51,1:31.284,232.325,17:00:57
4,9,Lando Norris,McLaren Mercedes,44,1:31.420,231.979,16:49:57
14,10,Fernando Alonso,Alpine Renault,48,1:31.698,231.276,16:56:47
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,48,1:31.895,230.780,16:57:16
18,12,Lance Stroll,Aston Martin Mercedes,48,1:31.992,230.537,16:56:49
63,13,George Russell,Williams Mercedes,49,1:32.049,230.394,16:58:38
31,14,Esteban Ocon,Alpine Renault,48,1:32.210,229.992,16:56:51
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,49,1:32.346,229.653,16:58:41
6,16,Nicholas Latifi,Williams Mercedes,51,1:32.477,229.328,17:01:52
47,17,Mick Schumacher,Haas Ferrari,50,1:32.862,228.377,17:01:20
9,18,Nikita Mazepin,Haas Ferrari,51,1:32.909,228.262,17:02:52
5,19,Sebastian Vettel,Aston Martin Mercedes,35,1:33.059,227.894,16:37:02
