,Position,Driver,Car,Laps,Time,Points
33,1,Max Verstappen,Red Bull Racing Honda,17,25:38.426,3
44,2,Lewis Hamilton,Mercedes,17,+1.430s,2
77,3,Valtteri Bottas,Mercedes,17,+7.502s,1
16,4,Charles Leclerc,Ferrari,17,+11.278s,0
4,5,Lando Norris,McLaren Mercedes,17,+24.111s,0
3,6,Daniel Ricciardo,McLaren Mercedes,17,+30.959s,0
14,7,Fernando Alonso,Alpine Renault,17,+43.527s,0
5,8,Sebastian Vettel,Aston Martin Mercedes,17,+44.439s,0
63,9,George Russell,Williams Mercedes,17,+46.652s,0
31,10,Esteban Ocon,Alpine Renault,17,+47.395s,0
55,11,Carlos Sainz,Ferrari,17,+47.798s,0
10,12,Pierre Gasly,AlphaTauri Honda,17,+48.763s,0
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,17,+50.677s,0
18,14,Lance Stroll,Aston Martin Mercedes,17,+52.179s,0
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,17,+53.225s,0
22,16,Yuki Tsunoda,AlphaTauri Honda,17,+53.567s,0
6,17,Nicholas Latifi,Williams Mercedes,17,+55.162s,0
47,18,Mick Schumacher,Haas Ferrari,17,+68.213s,0
9,19,Nikita Mazepin,Haas Ferrari,17,+77.648s,0
11,20,Sergio Perez,Red Bull Racing Honda,16,DNF,0
