,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:26.166,21
44,2,Lewis Hamilton,Mercedes,+0.138s,23
33,3,Max Verstappen,Red Bull Racing Honda,+0.727s,24
27,4,Nico Hulkenberg,Racing Point BWT Mercedes,+0.776s,25
16,5,Charles Leclerc,Ferrari,+0.896s,20
23,6,Alexander Albon,Red Bull Racing Honda,+1.114s,22
5,7,Sebastian Vettel,Ferrari,+1.332s,21
18,8,Lance Stroll,Racing Point BWT Mercedes,+1.373s,26
26,9,Daniil Kvyat,AlphaTauri Honda,+1.487s,27
31,10,Esteban Ocon,Renault,+1.535s,23
10,11,Pierre Gasly,AlphaTauri Honda,+1.541s,23
4,12,Lando Norris,McLaren Renault,+1.680s,26
8,13,Romain Grosjean,Haas Ferrari,+1.742s,26
55,14,Carlos Sainz,McLaren Renault,+1.972s,28
63,15,George Russell,Williams Mercedes,+2.004s,24
6,16,Nicholas Latifi,Williams Mercedes,+2.060s,24
3,17,Daniel Ricciardo,Renault,+2.345s,23
7,18,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.489s,24
88,19,Robert Kubica,Alfa Romeo Racing Ferrari,+2.794s,22
20,20,Kevin Magnussen,Haas Ferrari,+3.153s,17
