,Position,Driver,Car,Laps,Time,Points
33,1,Max Verstappen,Red Bull Racing Honda,52,1:19:41.993,25
44,2,Lewis Hamilton,Mercedes,52,+11.326s,19
77,3,Valtteri Bottas,Mercedes,52,+19.231s,15
16,4,Charles Leclerc,Ferrari,52,+29.289s,12
23,5,Alexander Albon,Red Bull Racing Honda,52,+39.146s,10
18,6,Lance Stroll,Racing Point BWT Mercedes,52,+42.538s,8
27,7,Nico Hulkenberg,Racing Point BWT Mercedes,52,+55.951s,6
31,8,Esteban Ocon,Renault,52,+64.773s,4
4,9,Lando Norris,McLaren Renault,52,+65.544s,2
26,10,Daniil Kvyat,AlphaTauri Honda,52,+69.669s,1
10,11,Pierre Gasly,AlphaTauri Honda,52,+70.642s,0
5,12,Sebastian Vettel,Ferrari,52,+73.370s,0
55,13,Carlos Sainz,McLaren Renault,52,+74.070s,0
3,14,Daniel Ricciardo,Renault,51,+1 lap,0
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,51,+1 lap,0
8,16,Romain Grosjean,Haas Ferrari,51,+1 lap,0
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,51,+1 lap,0
63,18,George Russell,Williams Mercedes,51,+1 lap,0
6,19,Nicholas Latifi,Williams Mercedes,51,+1 lap,0
20,NC,Kevin Magnussen,Haas Ferrari,43,DNF,0
