,Position,Driver,Car,Time
77,1,Valtteri Bottas,Mercedes,1:25.154
44,2,Lewis Hamilton,Mercedes,1:25.217
27,3,Nico Hulkenberg,Racing Point BWT Mercedes,1:26.082
33,4,Max Verstappen,Red Bull Racing Honda,1:26.176
3,5,Daniel Ricciardo,Renault,1:26.297
18,6,Lance Stroll,Racing Point BWT Mercedes,1:26.428
10,7,Pierre Gasly,AlphaTauri Honda,1:26.534
16,8,Charles Leclerc,Ferrari,1:26.614
23,9,Alexander Albon,Red Bull Racing Honda,1:26.669
4,10,Lando Norris,McLaren Renault,1:26.778
5,11,Sebastian Vettel,Ferrari,1:27.078
55,12,Carlos Sainz,McLaren Renault,1:27.083
8,13,Romain Grosjean,Haas Ferrari,1:27.254
31,14,Esteban Ocon,Renault,1:27.011
63,15,George Russell,Williams Mercedes,1:27.455
26,16,Daniil Kvyat,AlphaTauri Honda,1:27.882
20,17,Kevin Magnussen,Haas Ferrari,1:28.236
6,18,Nicholas Latifi,Williams Mercedes,1:28.430
99,19,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:28.433
7,20,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:28.493
