,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:26.621,15
77,2,Valtteri Bottas,Mercedes,+0.163s,16
4,3,Lando Norris,McLaren Renault,+0.581s,20
27,4,Nico Hulkenberg,Racing Point BWT Mercedes,+0.635s,16
18,5,Lance Stroll,Racing Point BWT Mercedes,+0.642s,15
16,6,Charles Leclerc,Ferrari,+0.707s,18
33,7,Max Verstappen,Red Bull Racing Honda,+0.834s,12
23,8,Alexander Albon,Red Bull Racing Honda,+0.853s,15
31,9,Esteban Ocon,Renault,+0.875s,15
55,10,Carlos Sainz,McLaren Renault,+1.006s,22
10,11,Pierre Gasly,AlphaTauri Honda,+1.038s,15
26,12,Daniil Kvyat,AlphaTauri Honda,+1.133s,18
5,13,Sebastian Vettel,Ferrari,+1.190s,20
3,14,Daniel Ricciardo,Renault,+1.194s,12
8,15,Romain Grosjean,Haas Ferrari,+1.455s,15
6,16,Nicholas Latifi,Williams Mercedes,+1.504s,14
63,17,George Russell,Williams Mercedes,+1.728s,17
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+1.847s,13
7,19,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+1.917s,12
20,20,Kevin Magnussen,Haas Ferrari,+2.142s,16
