,Position,Driver,Car,Q1,Q2,Q3,Laps
77,1,Valtteri Bottas,Mercedes,1:26.738,1:25.785,1:25.154,20
44,2,Lewis Hamilton,Mercedes,1:26.818,1:26.266,1:25.217,20
27,3,Nico Hulkenberg,Racing Point BWT Mercedes,1:27.279,1:26.261,1:26.082,18
33,4,Max Verstappen,Red Bull Racing Honda,1:27.154,1:26.779,1:26.176,12
3,5,Daniel Ricciardo,Renault,1:27.442,1:26.636,1:26.297,14
18,6,Lance Stroll,Racing Point BWT Mercedes,1:27.187,1:26.674,1:26.428,18
10,7,Pierre Gasly,AlphaTauri Honda,1:27.154,1:26.523,1:26.534,18
16,8,Charles Leclerc,Ferrari,1:27.427,1:26.709,1:26.614,16
23,9,Alexander Albon,Red Bull Racing Honda,1:27.153,1:26.642,1:26.669,18
4,10,Lando Norris,McLaren Renault,1:27.217,1:26.885,1:26.778,18
31,11,Esteban Ocon,Renault,1:27.278,1:27.011,,12
5,12,Sebastian Vettel,Ferrari,1:27.612,1:27.078,,14
55,13,Carlos Sainz,McLaren Renault,1:27.450,1:27.083,,12
8,14,Romain Grosjean,Haas Ferrari,1:27.519,1:27.254,,16
63,15,George Russell,Williams Mercedes,1:27.757,1:27.455,,11
26,16,Daniil Kvyat,AlphaTauri Honda,1:27.882,,,6
20,17,Kevin Magnussen,Haas Ferrari,1:28.236,,,9
6,18,Nicholas Latifi,Williams Mercedes,1:28.430,,,6
99,19,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:28.433,,,6
7,20,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:28.493,,,6
