,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Lewis Hamilton,McLaren Mercedes,1:39.873,1:39.695,1:40.948,20
15,2,Sebastian Vettel,RBR Renault,1:40.666,1:39.984,1:41.615,21
14,3,Mark Webber,RBR Renault,1:40.667,1:40.272,1:41.726,21
23,4,Rubens Barrichello,Brawn Mercedes,1:40.574,1:40.421,1:41.786,24
22,5,Jenson Button,Brawn Mercedes,1:40.378,1:40.148,1:41.892,25
9,6,Jarno Trulli,Toyota,1:40.517,1:40.373,1:41.897,24
5,7,Robert Kubica,Sauber BMW,1:40.520,1:40.545,1:41.992,25
6,8,Nick Heidfeld,Sauber BMW,1:40.558,1:40.635,1:42.343,24
16,9,Nico Rosberg,Williams Toyota,1:40.842,1:40.661,1:42.583,25
12,10,Sebastien Buemi,STR Ferrari,1:40.908,1:40.430,1:42.713,27
4,11,Kimi Räikkönen,Ferrari,1:41.100,1:40.726,,20
10,12,Kamui Kobayashi,Toyota,1:41.035,1:40.777,,17
2,13,Heikki Kovalainen,McLaren Mercedes,1:40.808,1:40.983,,16
17,14,Kazuki Nakajima,Williams Toyota,1:41.096,1:41.148,,18
11,15,Jaime Alguersuari,STR Ferrari,1:41.503,1:41.689,,19
7,16,Fernando Alonso,Renault,1:41.667,,,12
21,17,Vitantonio Liuzzi,Force India Mercedes,1:41.701,,,10
20,18,Adrian Sutil,Force India Mercedes,1:41.863,,,10
8,19,Romain Grosjean,Renault,1:41.950,,,12
3,20,Giancarlo Fisichella,Ferrari,1:42.184,,,12
