,Position,Driver,Car,Time,Laps
4,1,Heinz-Harald Frentzen,Williams Renault,1:18.216,12
5,2,Michael Schumacher,Ferrari,1:18.235,11
3,3,Jacques Villeneuve,Williams Renault,1:18.583,11
12,4,Giancarlo Fisichella,Jordan Peugeot,1:18.665,12
10,5,David Coulthard,McLaren Mercedes,1:18.779,12
11,6,Ralf Schumacher,Jordan Peugeot,1:18.943,11
16,7,Johnny Herbert,Sauber Petronas,1:19.105,12
9,8,Mika Hakkinen,McLaren Mercedes,1:19.119,12
7,9,Jean Alesi,Benetton Renault,1:19.263,9
22,10,Rubens Barrichello,Stewart Ford,1:19.295,12
17,11,Nicola Larini,Sauber Petronas,1:19.468,12
14,12,Olivier Panis,Prost Mugen Honda,1:19.626,12
1,13,Damon Hill,Arrows Yamaha,1:19.674,12
19,14,Mika Salo,Tyrrell Ford,1:19.694,12
6,15,Eddie Irvine,Ferrari,1:19.723,12
2,16,Pedro Diniz,Arrows Yamaha,1:19.860,12
8,17,Gerhard Berger,Benetton Renault,1:20.199,11
21,18,Jarno Trulli,Minardi Hart,1:20.349,12
23,19,Jan Magnussen,Stewart Ford,1:20.516,11
20,20,Ukyo Katayama,Minardi Hart,1:20.606,12
15,21,Shinji Nakano,Prost Mugen Honda,1:20.961,12
18,22,Jos Verstappen,Tyrrell Ford,1:21.290,11
