,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Ferrari,26,1:53.315
11,2,Ralf Schumacher,Jordan Peugeot,10,1:53.430
22,3,Rubens Barrichello,Stewart Ford,10,1:53.495
4,4,Heinz-Harald Frentzen,Williams Renault,22,1:53.504
6,5,Eddie Irvine,Ferrari,48,1:54.202
12,6,Giancarlo Fisichella,Jordan Peugeot,9,1:54.806
19,7,Mika Salo,Tyrrell Ford,22,1:54.968
18,8,Jos Verstappen,Tyrrell Ford,23,1:55.045
3,9,Jacques Villeneuve,Williams Renault,14,1:55.218
23,10,Jan Magnussen,Stewart Ford,27,1:55.303
14,11,Olivier Panis,Prost Mugen Honda,18,1:55.309
7,12,Jean Alesi,Benetton Renault,9,1:55.451
16,13,Johnny Herbert,Sauber Petronas,8,1:55.840
8,14,Gerhard Berger,Benetton Renault,8,1:55.841
20,15,Ukyo Katayama,Minardi Hart,24,1:56.101
15,16,Shinji Nakano,Prost Mugen Honda,19,1:56.906
17,17,Nicola Larini,Sauber Petronas,19,1:56.940
21,18,Jarno Trulli,Minardi Hart,7,2:00.038
10,19,David Coulthard,McLaren Mercedes,1,2:11.201
9,20,Mika Hakkinen,McLaren Mercedes,1,2:15.786
1,21,Damon Hill,Arrows Yamaha,1,2:17.648
