,Position,Driver,Car,Lap,Time
5,1,Nigel Mansell,Williams Renault,10,1:42.503
2,2,Gerhard Berger,McLaren Honda,38,1:42.850
19,3,Michael Schumacher,Benetton Ford,11,1:42.989
6,4,Riccardo Patrese,Williams Renault,10,1:43.148
1,5,Ayrton Senna,McLaren Honda,38,1:43.176
27,6,Jean Alesi,Ferrari,43,1:43.469
28,7,Ivan Capelli,Ferrari,11,1:44.032
16,8,Karl Wendlinger,March Ilmor,37,1:45.598
21,9,Jyrki Jarvilehto,Dallara Ferrari,40,1:45.915
15,10,Gabriele Tarquini,Fondmetal Ford,39,1:46.087
9,11,Michele Alboreto,Footwork Mugen Honda,40,1:46.196
22,12,Pierluigi Martini,Dallara Ferrari,37,1:46.713
11,13,Mika Hakkinen,Lotus Ford,38,1:47.017
10,14,Aguri Suzuki,Footwork Mugen Honda,37,1:47.233
29,15,Bertrand Gachot,Venturi Lamborghini,12,1:47.454
33,16,Mauricio Gugelmin,Jordan Yamaha,12,1:47.713
12,17,Johnny Herbert,Lotus Ford,12,1:47.739
26,18,Erik Comas,Ligier Renault,12,1:48.096
3,19,Olivier Grouillard,Tyrrell Ilmor,10,1:48.296
17,20,Paul Belmondo,March Ilmor,38,1:48.862
24,21,Gianni Morbidelli,Minardi Lamborghini,10,1:49.661
14,22,Andrea Chiesa,Fondmetal Ford,22,1:49.793
23,23,Christian Fittipaldi,Minardi Lamborghini,33,1:50.019
20,24,Martin Brundle,Benetton Ford,2,1:50.461
25,25,Thierry Boutsen,Ligier Renault,8,1:51.586
4,26,Andrea de Cesaris,Tyrrell Ilmor,1,2:14.087
