,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:19.604
6,2,Riccardo Patrese,Williams Renault,+0.583s
19,3,Michael Schumacher,Benetton Ford,+0.890s
1,4,Ayrton Senna,McLaren Honda,+1.736s
2,5,Gerhard Berger,McLaren Honda,+2.068s
4,6,Andrea de Cesaris,Tyrrell Ilmor,+2.644s
28,7,Ivan Capelli,Ferrari,+2.700s
20,8,Martin Brundle,Benetton Ford,+2.795s
27,9,Jean Alesi,Ferrari,+2.973s
16,10,Karl Wendlinger,March Ilmor,+3.765s
21,11,Jyrki Jarvilehto,Dallara Ferrari,+4.296s
26,12,Erik Comas,Ligier Renault,+4.379s
25,13,Thierry Boutsen,Ligier Renault,+4.785s
9,14,Michele Alboreto,Footwork Mugen Honda,+4.805s
10,15,Aguri Suzuki,Footwork Mugen Honda,+5.081s
3,16,Olivier Grouillard,Tyrrell Ilmor,+5.136s
33,17,Mauricio Gugelmin,Jordan Yamaha,+5.341s
15,18,Gabriele Tarquini,Fondmetal Ford,+5.375s
24,19,Gianni Morbidelli,Minardi Lamborghini,+5.436s
23,20,Christian Fittipaldi,Minardi Lamborghini,+5.506s
22,21,Pierluigi Martini,Dallara Ferrari,+5.542s
14,22,Andrea Chiesa,Fondmetal Ford,+5.712s
29,23,Bertrand Gachot,Venturi Lamborghini,+5.854s
17,24,Paul Belmondo,March Ilmor,+6.235s
32,25,Stefano Modena,Jordan Yamaha,+6.646s
12,26,Johnny Herbert,Lotus Ford,+6.657s
30,27,Ukyo Katayama,Venturi Lamborghini,+7.120s
7,28,Eric van de Poele,Brabham Judd,+7.696s
8,29,Damon Hill,Brabham Judd,+8.037s
11,30,Mika Hakkinen,Lotus Ford,+8.240s
