,Position,Driver,Car,Time
29,1,Bertrand Gachot,Venturi Lamborghini,1:26.032
5,1,Nigel Mansell,Williams Renault,1:20.190
19,2,Michael Schumacher,Benetton Ford,1:21.195
9,2,Michele Alboreto,Footwork Mugen Honda,1:26.120
1,3,Ayrton Senna,McLaren Honda,1:21.209
30,3,Ukyo Katayama,Venturi Lamborghini,1:26.487
6,4,Riccardo Patrese,Williams Renault,1:21.534
14,4,Andrea Chiesa,Fondmetal Ford,1:27.902
34,5,Roberto Moreno,Moda Judd,1:37.155
28,5,Ivan Capelli,Ferrari,1:22.413
20,6,Martin Brundle,Benetton Ford,1:22.529
2,7,Gerhard Berger,McLaren Honda,1:22.711
27,8,Jean Alesi,Ferrari,1:22.746
16,9,Karl Wendlinger,March Ilmor,1:23.121
26,10,Erik Comas,Ligier Renault,1:23.593
4,11,Andrea de Cesaris,Tyrrell Ilmor,1:23.723
21,12,Jyrki Jarvilehto,Dallara Ferrari,1:24.054
22,13,Pierluigi Martini,Dallara Ferrari,1:24.236
25,14,Thierry Boutsen,Ligier Renault,1:24.583
3,15,Olivier Grouillard,Tyrrell Ilmor,1:24.608
33,17,Mauricio Gugelmin,Jordan Yamaha,1:24.671
15,18,Gabriele Tarquini,Fondmetal Ford,1:24.800
10,19,Aguri Suzuki,Footwork Mugen Honda,1:24.940
11,21,Mika Hakkinen,Lotus Ford,1:25.202
23,22,Christian Fittipaldi,Minardi Lamborghini,1:25.315
17,23,Paul Belmondo,March Ilmor,1:25.467
24,25,Gianni Morbidelli,Minardi Lamborghini,1:25.786
12,26,Johnny Herbert,Lotus Ford,1:25.786
7,28,Eric van de Poele,Brabham Judd,1:26.880
32,29,Stefano Modena,Jordan Yamaha,1:27.480
8,30,Damon Hill,Brabham Judd,1:27.763
