,Position,Driver,Car,Time / Gap
27,1,Jean Alesi,Ferrari,1:48.241
6,2,Riccardo Patrese,Williams Renault,+1.515s
5,3,Nigel Mansell,Williams Renault,+1.521s
20,4,Martin Brundle,Benetton Ford,+2.069s
19,5,Michael Schumacher,Benetton Ford,+4.557s
1,6,Ayrton Senna,McLaren Honda,+5.424s
22,7,Pierluigi Martini,Dallara Ferrari,+6.006s
21,8,Jyrki Jarvilehto,Dallara Ferrari,+6.033s
9,9,Michele Alboreto,Footwork Mugen Honda,+7.655s
33,10,Mauricio Gugelmin,Jordan Yamaha,+8.420s
24,11,Gianni Morbidelli,Minardi Lamborghini,+9.092s
11,12,Mika Hakkinen,Lotus Ford,+10.945s
23,13,Christian Fittipaldi,Minardi Lamborghini,+11.640s
15,14,Gabriele Tarquini,Fondmetal Ford,+12.044s
8,15,Damon Hill,Brabham Judd,+12.718s
28,16,Ivan Capelli,Ferrari,+13.052s
14,17,Andrea Chiesa,Fondmetal Ford,+14.013s
12,18,Johnny Herbert,Lotus Ford,+15.650s
32,19,Stefano Modena,Jordan Yamaha,+21.170s
3,20,Olivier Grouillard,Tyrrell Ilmor,+48.121s
2,21,Gerhard Berger,McLaren Honda,+24.854s
10,22,Aguri Suzuki,Footwork Mugen Honda,
