,Position,Driver,Car,Time,Laps
6,1,Jacques Villeneuve,Williams Renault,1:38.909,11
5,2,Damon Hill,Williams Renault,1:39.370,11
1,3,Michael Schumacher,Ferrari,1:40.071,11
4,4,Gerhard Berger,Benetton Renault,1:40.364,10
7,5,Mika Hakkinen,McLaren Mercedes,1:40.458,10
2,6,Eddie Irvine,Ferrari,1:41.005,11
15,7,Heinz-Harald Frentzen,Sauber Ford,1:41.277,12
8,8,David Coulthard,McLaren Mercedes,1:41.384,9
3,9,Jean Alesi,Benetton Renault,1:41.562,8
12,10,Martin Brundle,Jordan Peugeot,1:41.600,11
11,11,Rubens Barrichello,Jordan Peugeot,1:41.919,11
9,12,Olivier Panis,Ligier Mugen Honda,1:42.206,11
14,13,Johnny Herbert,Sauber Ford,1:42.658,12
18,14,Ukyo Katayama,Tyrrell Yamaha,1:42.711,12
19,15,Mika Salo,Tyrrell Yamaha,1:42.840,12
10,16,Pedro Diniz,Ligier Mugen Honda,1:43.196,11
17,17,Jos Verstappen,Footwork Hart,1:43.383,10
20,18,Pedro Lamy,Minardi Ford,1:44.874,11
16,19,Ricardo Rosset,Footwork Hart,1:45.412,12
21,20,Giovanni Lavaggi,Minardi Ford,1:46.795,11
