,Position,Driver,Car,Laps,Time,Points
7,1,John Surtees,Cooper Maserati,65,2:06:35.340,9
5,2,Jack Brabham,Brabham Repco,65,+7.880s,6
6,3,Denny Hulme,Brabham Repco,64,+1 lap,4
12,4,Richie Ginther,Honda,64,+1 lap,3
15,5,Dan Gurney,Eagle Climax,64,+1 lap,2
22,6,Jo Bonnier,Cooper Maserati,63,+2 laps,1
2,7,Peter  Arundell ,Lotus BRM,61,+4 laps,0
14,8,Ronnie Bucknum,Honda,60,+5 laps,0
11,NC,Pedro Rodriguez,Lotus Climax,49,DNF,0
17,NC,Bruce McLaren,McLaren Ford,40,DNF,0
19,NC,Jo Siffert,Cooper Maserati,33,DNF,0
8,NC,Jochen Rindt,Cooper Maserati,32,DNF,0
10,NC,Innes Ireland,BRM,28,DNF,0
4,NC,Jackie Stewart,BRM,26,DNF,0
16,NC,Bob Bondurant,Eagle Weslake,24,DNF,0
3,NC,Graham Hill,BRM,18,DNF,0
9,NC,Moises Solana,Cooper Maserati,9,DNF,0
1,NC,Jim Clark,Lotus BRM,9,DNF,0
