,Position,Driver,Car,Laps,Time,Points
1,1,Michael Schumacher,Ferrari,70,1:35:26.131,10
2,2,Rubens Barrichello,Ferrari,70,+4.696s,8
8,3,Fernando Alonso,Renault,70,+44.599s,6
3,4,Juan Pablo Montoya,Williams BMW,70,+62.613s,5
9,5,Jenson Button,BAR Honda,70,+67.439s,4
10,6,Takuma Sato,BAR Honda,69,+1 lap,3
4,7,Antonio Pizzonia,Williams BMW,69,+1 lap,2
11,8,Giancarlo Fisichella,Sauber Petronas,69,+1 lap,1
5,9,David Coulthard,McLaren Mercedes,69,+1 lap,0
14,10,Mark Webber,Jaguar Cosworth,69,+1 lap,0
17,11,Olivier Panis,Toyota,69,+1 lap,0
18,12,Nick Heidfeld,Jordan Ford,68,+2 laps,0
15,13,Christian Klien,Jaguar Cosworth,68,+2 laps,0
20,14,Gianmaria Bruni,Minardi Cosworth,66,+4 laps,0
21,15,Zsolt Baumgartner,Minardi Cosworth,65,+5 laps,0
19,NC,Giorgio Pantano,Jordan Ford,48,DNF,0
7,NC,Jarno Trulli,Renault,41,DNF,0
16,NC,Ricardo Zonta,Toyota,31,DNF,0
12,NC,Felipe Massa,Sauber Petronas,21,DNF,0
6,NC,Kimi Räikkönen,McLaren Mercedes,13,DNF,0
