,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:19.146,6
2,2,Rubens Barrichello,Ferrari,1:19.323,6
10,3,Takuma Sato,BAR Honda,1:19.693,6
9,4,Jenson Button,BAR Honda,1:19.700,6
8,5,Fernando Alonso,Renault,1:19.996,6
4,6,Antonio Pizzonia,Williams BMW,1:20.170,6
3,7,Juan Pablo Montoya,Williams BMW,1:20.199,6
11,8,Giancarlo Fisichella,Sauber Petronas,1:20.324,6
7,9,Jarno Trulli,Renault,1:20.411,6
6,10,Kimi Räikkönen,McLaren Mercedes,1:20.570,6
14,11,Mark Webber,Jaguar Cosworth,1:20.730,6
5,12,David Coulthard,McLaren Mercedes,1:20.897,6
17,13,Olivier Panis,Toyota,1:21.068,6
15,14,Christian Klien,Jaguar Cosworth,1:21.118,6
16,15,Ricardo Zonta,Toyota,1:21.135,6
18,16,Nick Heidfeld,Jordan Ford,1:22.180,6
19,17,Giorgio Pantano,Jordan Ford,1:22.356,6
21,18,Zsolt Baumgartner,Minardi Cosworth,1:24.329,6
20,19,Gianmaria Bruni,Minardi Cosworth,1:24.679,6
12,20,Felipe Massa,Sauber Petronas,1:19.658,3
