,Position,Driver,Car,Q1,Q2,Q3,Laps
44,1,Lewis Hamilton,Mercedes,1:46.921,1:46.287,1:45.681,17
6,2,Nico Rosberg,Mercedes,1:47.244,1:45.825,1:45.688,19
3,3,Daniel Ricciardo,Red Bull Racing Renault,1:47.488,1:46.493,1:45.854,12
1,4,Sebastian Vettel,Red Bull Racing Renault,1:47.476,1:46.586,1:45.902,15
14,5,Fernando Alonso,Ferrari,1:46.889,1:46.328,1:45.907,16
19,6,Felipe Massa,Williams Mercedes,1:47.615,1:46.472,1:46.000,20
7,7,Kimi Räikkönen,Ferrari,1:46.685,1:46.359,1:46.170,14
77,8,Valtteri Bottas,Williams Mercedes,1:47.196,1:46.622,1:46.187,18
20,9,Kevin Magnussen,McLaren Mercedes,1:47.976,1:46.700,1:46.250,18
26,10,Daniil Kvyat,STR Renault,1:47.656,1:46.926,1:47.362,21
22,11,Jenson Button,McLaren Mercedes,1:47.161,1:46.943,,12
25,12,Jean-Eric Vergne,STR Renault,1:47.407,1:46.989,,14
27,13,Nico Hulkenberg,Force India Mercedes,1:47.370,1:47.308,,13
21,14,Esteban Gutierrez ,Sauber Ferrari,1:47.970,1:47.333,,9
11,15,Sergio Perez,Force India Mercedes,1:48.143,1:47.575,,13
8,16,Romain Grosjean,Lotus Renault,1:47.862,1:47.812,,14
99,17,Adrian Sutil,Sauber Ferrari,1:48.324,,,6
13,18,Pastor Maldonado,Lotus Renault,1:49.063,,,8
17,19,Jules Bianchi,Marussia Ferrari,1:49.440,,,7
10,20,Kamui Kobayashi,Caterham Renault,1:50.405,,,8
4,21,Max Chilton,Marussia Ferrari,1:50.473,,,7
9,22,Marcus Ericsson,Caterham Renault,1:52.287,,,5
