,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
77,1,Valtteri Bottas,Mercedes,50,1:33.144,224.439,15:26:34
7,2,Kimi Räikkönen,Ferrari,50,1:33.175,224.364,15:26:57
3,3,Daniel Ricciardo,Red Bull Racing TAG Heuer,52,1:33.694,223.122,15:29:40
2,4,Stoffel Vandoorne,McLaren Honda,49,1:33.724,223.050,15:26:39
33,5,Max Verstappen,Red Bull Racing TAG Heuer,51,1:33.730,223.036,15:27:55
44,6,Lewis Hamilton,Mercedes,43,1:33.780,222.917,15:14:08
30,7,Jolyon Palmer,Renault,50,1:34.095,222.171,15:28:00
10,8,Pierre Gasly,Toro Rosso,45,1:34.533,221.141,15:18:58
18,9,Lance Stroll,Williams Mercedes,37,1:34.548,221.106,15:06:22
11,10,Sergio Perez,Force India Mercedes,23,1:34.744,220.649,14:43:09
31,11,Esteban Ocon,Force India Mercedes,50,1:34.843,220.419,15:27:26
14,12,Fernando Alonso,McLaren Honda,45,1:35.111,219.797,15:18:47
20,13,Kevin Magnussen,Haas Ferrari,50,1:35.338,219.274,15:27:47
8,14,Romain Grosjean,Haas Ferrari,50,1:35.347,219.253,15:27:47
27,15,Nico Hulkenberg,Renault,28,1:35.883,218.028,14:51:00
19,16,Felipe Massa,Williams Mercedes,50,1:35.943,217.891,15:27:53
94,17,Pascal Wehrlein,Sauber Ferrari,27,1:36.430,216.791,14:50:52
9,18,Marcus Ericsson,Sauber Ferrari,7,1:38.596,212.028,14:16:28
5,19,Sebastian Vettel,Ferrari,2,2:06.457,165.314,14:07:19
