,Position,Points
Ferrari,1,170
McLaren Mercedes,2,152
Williams BMW,3,36
Benetton Playlife,4,20
BAR Honda,5,20
Jordan Mugen Honda,6,17
Arrows Supertec,7,7
Sauber Petronas,8,6
Jaguar Cosworth,9,4
