,Position,Points
Mercedes,1,739
Ferrari,2,504
Red Bull Racing Honda,3,417
McLaren Renault,4,145
Renault,5,91
Scuderia Toro Rosso Honda,6,85
Racing Point BWT Mercedes,7,73
Alfa Romeo Racing Ferrari,8,57
Haas Ferrari,9,28
Williams Mercedes,10,1
