,Position,Points
Ferrari,1,179
McLaren Mercedes,2,102
Williams BMW,3,80
Sauber Petronas,4,21
Jordan Honda,5,19
BAR Honda,6,17
Benetton Renault,7,10
Jaguar Cosworth,8,9
Prost Acer,9,4
Arrows Asiatech,10,1
