,Position,Points
Ferrari,1,113
Williams Ford,2,75
Ligier Ford,3,61
Lotus Ford,4,39
Tyrrell Ford,5,28
Renault,6,26
McLaren Ford,7,15
Brabham Ford,8,7
Arrows Ford,9,5
Shadow Ford,10,3
ATS Ford,11,2
Fittipaldi Ford,12,1
