,Position,Points
Ferrari,1,95
Lotus Ford,2,62
McLaren Ford,3,60
Wolf Ford,4,55
Brabham Alfa Romeo,5,27
Tyrrell Ford,5,27
Shadow Ford,7,23
Ligier Matra,8,18
Fittipaldi Ford,9,11
Ensign Ford,10,10
Surtees Ford,11,6
Penske Ford,12,1
