,Position,Points
Mercedes,1,573
Red Bull Racing Honda,2,319
McLaren Renault,3,202
Racing Point BWT Mercedes,4,195
Renault,5,181
Ferrari,6,131
AlphaTauri Honda,7,107
Alfa Romeo Racing Ferrari,8,8
Haas Ferrari,9,3
Williams Mercedes,10,0
