,Position,Points
Lotus Ford,1,61
Tyrrell Ford,2,51
McLaren Ford,3,47
Ferrari,4,33
Surtees Ford,5,18
March Ford,6,15
BRM,7,14
Matra,8,12
Brabham Ford,9,7
