,Position,Points
Lotus Ford,1,62
McLaren Ford,2,49
Matra Ford,3,45
Ferrari,4,32
BRM,5,28
Honda,6,14
Cooper BRM,6,14
Brabham Repco,8,10
Matra,9,8
Mclaren BRM,10,3
