,Position,Points
McLaren TAG,1,143.5
Ferrari,2,57.5
Lotus Renault,3,47
Brabham BMW,4,38
Renault,5,34
Williams Honda,6,25.5
Toleman Hart,7,16
Alfa Romeo,8,11
Arrows BMW,9,3
Ligier Renault,10,3
Arrows Ford,11,3
Osella Alfa Romeo,12,2
