,Position,Points
Tyrrell Ford,1,73
BRM,2,36
Ferrari,3,33
March Ford,3,33
Lotus Ford,5,21
McLaren Ford,6,10
Matra,7,9
Surtees Ford,8,8
Brabham Ford,9,5
