,Position,Points
Red Bull Racing Renault,1,460
Ferrari,2,400
McLaren Mercedes,3,378
Lotus Renault,4,303
Mercedes,5,142
Sauber Ferrari,6,126
Force India Mercedes,7,109
Williams Renault,8,76
STR Ferrari,9,26
Caterham Renault,10,0
Marussia Cosworth,11,0
HRT Cosworth,12,0
