,Position,Points
RBR Renault,1,498
McLaren Mercedes,2,454
Ferrari,3,396
Mercedes,4,214
Renault,5,163
Williams Cosworth,6,69
Force India Mercedes,7,68
Sauber Ferrari,8,44
STR Ferrari,9,13
Lotus Cosworth,10,0
HRT Cosworth,11,0
Virgin Cosworth,12,0
