,Position,Points
Brabham Repco,1,63
Lotus Ford,2,44
Cooper Maserati,3,28
Honda,4,20
Ferrari,4,20
BRM,6,17
Eagle Weslake,7,13
Cooper Climax,8,6
Lotus BRM,8,6
McLaren BRM,10,3
Brabham Climax,11,2
