,Position,Points
Mercedes,1,703
Ferrari,2,428
Williams Mercedes,3,257
Red Bull Racing Renault,4,187
Force India Mercedes,5,136
Lotus Mercedes,6,78
STR Renault,7,67
Sauber Ferrari,8,36
McLaren Honda,9,27
Marussia Ferrari,10,0
