,Position,Points
Mercedes,1,668
Ferrari,2,522
Red Bull Racing TAG Heuer,3,368
Force India Mercedes,4,187
Williams Mercedes,5,83
Renault,6,57
Toro Rosso,7,53
Haas Ferrari,8,47
McLaren Honda,9,30
Sauber Ferrari,10,5
