,Position,Points
Ferrari,1,72.5
Brabham Ford,2,54
McLaren Ford,3,53
Hesketh Ford,4,33
Tyrrell Ford,5,25
Shadow Ford,6,9.5
Lotus Ford,7,9
March Ford,8,7.5
Frank Williams Racing Cars/Williams,9,6
Parnelli Ford,10,5
Hill Ford,11,3
Penske Ford,12,2
Ensign Ford,13,1
