,Position,Points
Mercedes,1,701
Red Bull Racing Renault,2,405
Williams Mercedes,3,320
Ferrari,4,216
McLaren Mercedes,5,181
Force India Mercedes,6,155
STR Renault,7,30
Lotus Renault,8,10
Marussia Ferrari,9,2
Sauber Ferrari,10,0
Caterham Renault,11,0
