,Position,Points
Benetton Renault,1,137
Williams Renault,2,112
Ferrari,3,73
McLaren Mercedes,4,30
Ligier Mugen Honda,5,24
Jordan Peugeot,6,21
Sauber Ford,7,18
Footwork Hart,8,5
Tyrrell Yamaha,9,5
Minardi Ford,10,1
