,Position,Points
Ferrari,1,204
Sauber BMW,2,101
Renault,3,51
Williams Toyota,4,33
Red Bull Renault,5,24
Toyota,6,13
STR Ferrari,7,8
Honda,8,6
Super Aguri Honda,9,4
Spyker Ferrari,10,1
McLaren Mercedes,EX,0
