,Position,Points
Mercedes,1,655
Ferrari,2,571
Red Bull Racing TAG Heuer,3,419
Renault,4,122
Haas Ferrari,5,93
McLaren Renault,6,62
Force India Mercedes,7,52
Sauber Ferrari,8,48
Scuderia Toro Rosso Honda,9,33
Williams Mercedes,10,7
Force India Sahara,EX,0
