,Position,Points
Williams Renault,1,175
Ferrari,2,70
Benetton Renault,3,68
McLaren Mercedes,4,49
Jordan Peugeot,5,22
Ligier Mugen Honda,6,15
Sauber Ford,7,11
Tyrrell Yamaha,8,5
Footwork Hart,9,1
