,Position,Points
Williams Renault,1,123
Ferrari,2,102
Benetton Renault,3,67
McLaren Mercedes,4,63
Jordan Peugeot,5,33
Prost Mugen Honda,6,21
Sauber Petronas,7,16
Arrows Yamaha,8,9
Stewart Ford,9,6
Tyrrell Ford,10,2
