,Position,Points
McLaren Honda,1,121
Ferrari,2,110
Benetton Ford,3,71
Williams Renault,4,57
Tyrrell Ford,5,16
Lola Lamborghini,6,11
Leyton House Judd,7,7
Lotus Lamborghini,8,3
Arrows Ford,9,2
Brabham Judd,10,2
