,Position,Points
Ferrari,1,74
McLaren Ford,2,69
Renault,3,62
Williams Ford,4,58
Lotus Ford,5,30
Tyrrell Ford,6,25
Brabham BMW,7,22
Ligier Matra,8,20
Brabham Ford,9,19
Alfa Romeo,10,7
Arrows Ford,11,5
ATS Ford,12,4
Osella Ford,13,3
Fittipaldi Ford,14,1
