,Position,Points
Ferrari,1,83
McLaren Ford,2,74
Tyrrell Ford,3,71
Lotus Ford,4,29
Penske Ford,5,20
Ligier Matra,5,20
March Ford,7,19
Shadow Ford,8,10
Brabham Alfa Romeo,9,9
Surtees Ford,10,7
Fittipaldi Ford,11,3
Ensign Ford,12,2
Parnelli Ford,13,1
