,Position,Points
Red Bull Racing Honda RBPT,1,860
Mercedes,2,409
Ferrari,3,406
McLaren Mercedes,4,302
Aston Martin Aramco Mercedes,5,280
Alpine Renault,6,120
Williams Mercedes,7,28
AlphaTauri Honda RBPT,8,25
Alfa Romeo Ferrari,9,16
Haas Ferrari,10,12
