,Position,Points
Brabham Repco,1,42
Ferrari,2,31
Cooper Maserati,3,30
BRM,4,22
Lotus BRM,5,13
Lotus Climax,6,8
Eagle Climax,7,4
Honda,8,3
McLaren Ford,9,2
Brabham BRM,10,1
McLaren Serenissima,10,1
Brabham Climax,10,1
