,Position,Points
Red Bull Racing Renault,1,650
McLaren Mercedes,2,497
Ferrari,3,375
Mercedes,4,165
Renault,5,73
Force India Mercedes,6,69
Sauber Ferrari,7,44
STR Ferrari,8,41
Williams Cosworth,9,5
Lotus Renault,10,0
HRT Cosworth,11,0
Virgin Cosworth,12,0
