,Position,Points
Williams Honda,1,141
McLaren TAG,2,96
Lotus Renault,3,58
Ferrari,4,37
Ligier Renault,5,29
Benetton BMW,6,19
Tyrrell Renault,7,11
Lola Ford,8,6
Brabham BMW,9,2
Arrows BMW,10,1
